rollout,timesteps,reward_area,reward_tv_i,reward_tv_g,reward_coll,reward_const,reward_total,coverage_ratio,collision
1.0,256.0,0.3359375,-0.08063530903309585,0.0,-0.5859375,-0.10000000000000002,-0.4306353090330957,0.015322041984732825,0.05859375
2.0,512.0,0.0703125,0.023816628009080888,0.0,-1.1328125,-0.10000000000000002,-1.1386833719909193,0.028437499999999998,0.11328125
3.0,768.0,0.16796875,-0.021378100663423542,0.0,-0.5859375,-0.10000000000000002,-0.5393468506634236,0.04137285305343512,0.05859375
4.0,1024.0,0.18359375,-0.018939564377069472,0.0,-0.8984375,-0.10000000000000002,-0.8337833143770697,0.05365935114503818,0.08984375
5.0,1280.0,0.0234375,0.004687502235174179,0.0,-1.640625,-0.10000000000000002,-1.712499997764826,0.060737118320610683,0.1640625
6.0,1536.0,0.02734375,0.014252062141895295,0.0,-3.75,-0.10000000000000002,-3.808404187858105,0.05368201335877862,0.375
7.0,1792.0,0.14453125,-0.026483980007469654,0.0,-2.03125,-0.10000000000000002,-2.01320273000747,0.008173902671755726,0.203125
8.0,2048.0,0.02734375,0.009793385118246078,0.0,-2.734375,-0.10000000000000002,-2.7972378648817537,0.013615219465648858,0.2734375
9.0,2304.0,0.0,0.0,0.0,-1.2109375,-0.10000000000000002,-1.3109375,0.01465648854961832,0.12109375
10.0,2560.0,0.0546875,0.008230885118246078,0.0,-1.171875,-0.10000000000000002,-1.208956614881754,0.017974713740458018,0.1171875
11.0,2816.0,0.015625,0.007126031816005707,0.0,-1.9921875,-0.10000000000000002,-2.0694364681839947,0.019918893129770996,0.19921875
12.0,3072.0,0.06640625,-0.012042351625859737,0.0,-1.2890625,-0.10000000000000002,-1.33469860162586,0.01556059160305344,0.12890625
